"","wgcna_module_name","gene","annotation"
"53","cyan","LRMDA","Leukocyte Migration"
"54","cyan","PPIF","Leukocyte Migration"
"55","cyan","BID","Leukocyte Migration"
"56","cyan","RINL","Leukocyte Migration"
"57","cyan","ARHGAP30","Leukocyte Migration"
"58","cyan","TMEM121B","Leukocyte Migration"
"59","cyan","IL10RB","Leukocyte Migration"
"60","cyan","LINC01954","Leukocyte Migration"
"61","cyan","KCNK6","Leukocyte Migration"
"62","cyan","PCK2","Leukocyte Migration"
"63","cyan","FCER1G","Leukocyte Migration"
"64","cyan","EXOSC6","Leukocyte Migration"
"65","cyan","HIST1H4F","Leukocyte Migration"
"66","cyan","CLIC1","Leukocyte Migration"
"67","cyan","LY86","Leukocyte Migration"
"68","cyan","DBNL","Leukocyte Migration"
"69","cyan","INTS5","Leukocyte Migration"
"70","cyan","NFKBIE","Leukocyte Migration"
"71","cyan","PREB","Leukocyte Migration"
"72","cyan","BMF","Leukocyte Migration"
"73","cyan","SLC37A4","Leukocyte Migration"
"74","cyan","CALHM6","Leukocyte Migration"
"75","cyan","MARCH3","Leukocyte Migration"
"76","cyan","ANKLE1","Leukocyte Migration"
"77","cyan","POLA2","Leukocyte Migration"
"78","cyan","HIST1H2AC","Leukocyte Migration"
"79","cyan","TNFAIP8L2-SCNM1","Leukocyte Migration"
"80","cyan","SCLY","Leukocyte Migration"
"81","cyan","TBC1D10C","Leukocyte Migration"
"82","cyan","ENTPD1-AS1","Leukocyte Migration"
"83","cyan","ORMDL2","Leukocyte Migration"
"84","cyan","NINJ2","Leukocyte Migration"
"85","cyan","APOBEC3D","Leukocyte Migration"
"86","cyan","STK10","Leukocyte Migration"
"87","cyan","INO80C","Leukocyte Migration"
"88","cyan","APOC1","Leukocyte Migration"
"89","cyan","CYP2S1","Leukocyte Migration"
"90","cyan","MROH8","Leukocyte Migration"
"91","cyan","DHRS4","Leukocyte Migration"
"92","cyan","UAP1L1","Leukocyte Migration"
"93","cyan","CLPTM1L","Leukocyte Migration"
"94","cyan","SLC35B2","Leukocyte Migration"
"95","cyan","SCNM1","Leukocyte Migration"
"96","cyan","SENCR","Leukocyte Migration"
"97","cyan","GPAA1","Leukocyte Migration"
"98","cyan","STXBP2","Leukocyte Migration"
"99","cyan","OPA3","Leukocyte Migration"
"100","cyan","PIH1D1","Leukocyte Migration"
"101","cyan","ZNF524","Leukocyte Migration"
"102","cyan","CHIAP2","Leukocyte Migration"
"103","cyan","MAPKAPK2","Leukocyte Migration"
"104","cyan","CKLF","Leukocyte Migration"
"105","cyan","FUCA2","Leukocyte Migration"
"106","cyan","BORCS6","Leukocyte Migration"
"107","cyan","TOR4A","Leukocyte Migration"
"108","cyan","GAL3ST4","Leukocyte Migration"
"109","cyan","TSEN54","Leukocyte Migration"
"110","cyan","ASCL2","Leukocyte Migration"
"111","cyan","GSTK1","Leukocyte Migration"
"112","cyan","TM9SF1","Leukocyte Migration"
"113","cyan","CTNS","Leukocyte Migration"
"114","cyan","SLC16A3","Leukocyte Migration"
"115","cyan","RASGRP4","Leukocyte Migration"
"116","cyan","KDELR1","Leukocyte Migration"
"117","cyan","BAK1","Leukocyte Migration"
"118","cyan","METTL23","Leukocyte Migration"
"119","cyan","HIST1H4C","Leukocyte Migration"
"120","cyan","RHOG","Leukocyte Migration"
"121","cyan","HMGCL","Leukocyte Migration"
"122","cyan","ELOVL1","Leukocyte Migration"
"123","cyan","RNF26","Leukocyte Migration"
"124","cyan","HCK","Leukocyte Migration"
"125","cyan","DCTD","Leukocyte Migration"
"126","cyan","ATRAID","Leukocyte Migration"
"127","cyan","TMEM165","Leukocyte Migration"
"128","cyan","CLN3","Leukocyte Migration"
"129","cyan","HDAC1","Leukocyte Migration"
"130","cyan","TMEM223","Leukocyte Migration"
"131","cyan","RASSF7","Leukocyte Migration"
"132","cyan","TMEM189","Leukocyte Migration"
"133","cyan","ITPA","Leukocyte Migration"
"134","cyan","FAM86C1","Leukocyte Migration"
"135","cyan","SLC15A3","Leukocyte Migration"
"136","cyan","SHKBP1","Leukocyte Migration"
"137","cyan","EMG1","Leukocyte Migration"
"138","cyan","IER5L","Leukocyte Migration"
"139","cyan","SLC7A8","Leukocyte Migration"
"140","cyan","C19orf38","Leukocyte Migration"
"141","cyan","NCK2","Leukocyte Migration"
"142","cyan","SH2B3","Leukocyte Migration"
"143","cyan","TIMM29","Leukocyte Migration"
"144","cyan","EIF3G","Leukocyte Migration"
"145","cyan","PYM1","Leukocyte Migration"
"146","cyan","TEX264","Leukocyte Migration"
"147","cyan","POLD4","Leukocyte Migration"
"148","cyan","LOC100506388","Leukocyte Migration"
"149","cyan","PPP1R3G","Leukocyte Migration"
"150","cyan","CD68","Leukocyte Migration"
"151","cyan","LOC105370333","Leukocyte Migration"
"152","cyan","NR1H3","Leukocyte Migration"
"153","cyan","ACY1","Leukocyte Migration"
"154","cyan","GGA2","Leukocyte Migration"
"155","cyan","LOC541472","Leukocyte Migration"
"156","cyan","LST1","Leukocyte Migration"
"157","cyan","SMIM3","Leukocyte Migration"
"158","cyan","RAB29","Leukocyte Migration"
"159","cyan","PPP1R18","Leukocyte Migration"
"160","cyan","ROR2","Leukocyte Migration"
"161","cyan","PPP1R12A-AS1","Leukocyte Migration"
"162","cyan","CD276","Leukocyte Migration"
"163","cyan","LOC100291105","Leukocyte Migration"
"164","cyan","UBE2F-SCLY","Leukocyte Migration"
"165","cyan","TYROBP","Leukocyte Migration"
"166","cyan","CHMP4A","Leukocyte Migration"
"167","cyan","UBALD2","Leukocyte Migration"
"168","cyan","ATPAF2","Leukocyte Migration"
"169","cyan","QARS","Leukocyte Migration"
"170","cyan","RAB8A","Leukocyte Migration"
"171","cyan","RILP","Leukocyte Migration"
"172","cyan","GP9","Leukocyte Migration"
"173","cyan","SASH3","Leukocyte Migration"
"174","cyan","KIAA2013","Leukocyte Migration"
"175","cyan","CDC42BPG","Leukocyte Migration"
"176","cyan","NUP62","Leukocyte Migration"
"177","cyan","HIST1H2AI","Leukocyte Migration"
"178","cyan","METTL21A","Leukocyte Migration"
"179","cyan","TSPO","Leukocyte Migration"
"180","cyan","DOK3","Leukocyte Migration"
"181","cyan","HIST1H2AM","Leukocyte Migration"
"182","cyan","HIST1H3I","Leukocyte Migration"
"183","cyan","IKBKE","Leukocyte Migration"
"184","cyan","LINC00278","Leukocyte Migration"
"185","cyan","PLP2","Leukocyte Migration"
"186","cyan","ZNF433-AS1","Leukocyte Migration"
"187","cyan","TP53","Leukocyte Migration"
"188","cyan","CD33","Leukocyte Migration"
"189","cyan","CALR","Leukocyte Migration"
"190","cyan","LOC101929497","Leukocyte Migration"
"191","cyan","EHD4","Leukocyte Migration"
"192","cyan","C19orf24","Leukocyte Migration"
"193","cyan","PKN1","Leukocyte Migration"
"194","cyan","APOBR","Leukocyte Migration"
"195","cyan","PLOD1","Leukocyte Migration"
"196","cyan","APOE","Leukocyte Migration"
"197","cyan","NAGLU","Leukocyte Migration"
"198","cyan","PLIN3","Leukocyte Migration"
"199","cyan","HIST1H2AE","Leukocyte Migration"
"200","cyan","APOBEC3A","Leukocyte Migration"
"201","cyan","DUT","Leukocyte Migration"
"202","cyan","BIN1","Leukocyte Migration"
"203","cyan","IL27RA","Leukocyte Migration"
"204","cyan","MPV17L2","Leukocyte Migration"
"205","cyan","HTRA1","Leukocyte Migration"
"206","cyan","IL6R-AS1","Leukocyte Migration"
"207","cyan","BCKDK","Leukocyte Migration"
"208","cyan","PPM1M","Leukocyte Migration"
"209","cyan","GPSM3","Leukocyte Migration"
"210","cyan","PCED1B","Leukocyte Migration"
"211","cyan","EMILIN2","Leukocyte Migration"
"212","cyan","TPST2","Leukocyte Migration"
"213","cyan","CLN6","Leukocyte Migration"
"214","cyan","DLG1-AS1","Leukocyte Migration"
"215","cyan","HMG20B","Leukocyte Migration"
"216","cyan","CNDP2","Leukocyte Migration"
"217","cyan","NECTIN2","Leukocyte Migration"
"218","cyan","CTSA","Leukocyte Migration"
"219","cyan","HPS6","Leukocyte Migration"
"220","cyan","VPS18","Leukocyte Migration"
"221","cyan","PTAFR","Leukocyte Migration"
"222","cyan","FBXO7","Leukocyte Migration"
"223","cyan","ACP2","Leukocyte Migration"
"224","cyan","GMFG","Leukocyte Migration"
"225","cyan","ORAI3","Leukocyte Migration"
"226","cyan","LOC100310756","Leukocyte Migration"
"227","cyan","PXDC1","Leukocyte Migration"
"228","cyan","NPC2","Leukocyte Migration"
"229","cyan","PSMB10","Leukocyte Migration"
"230","cyan","OXA1L","Leukocyte Migration"
"231","cyan","SUV39H1","Leukocyte Migration"
"232","cyan","WDR1","Leukocyte Migration"
"233","cyan","P4HB","Leukocyte Migration"
"234","cyan","CTU1","Leukocyte Migration"
"235","cyan","RNA28SN2","Leukocyte Migration"
"236","cyan","FKBP1AP1","Leukocyte Migration"
"237","cyan","ST6GALNAC4","Leukocyte Migration"
"238","cyan","NINJ1","Leukocyte Migration"
"239","cyan","GRAP","Leukocyte Migration"
"240","cyan","AMDHD2","Leukocyte Migration"
"241","cyan","LAG3","Leukocyte Migration"
"242","cyan","TMEM8A","Leukocyte Migration"
"243","cyan","RCC2","Leukocyte Migration"
"244","cyan","ZNF503-AS1","Leukocyte Migration"
"245","cyan","SPCS1","Leukocyte Migration"
"246","cyan","RNA28SN1","Leukocyte Migration"
"247","cyan","GMPPB","Leukocyte Migration"
"248","cyan","CORO1B","Leukocyte Migration"
"249","cyan","SLC29A1","Leukocyte Migration"
"250","cyan","STAC3","Leukocyte Migration"
"251","cyan","NAGA","Leukocyte Migration"
"252","cyan","BCAP31","Leukocyte Migration"
"253","cyan","ADCK2","Leukocyte Migration"
"254","cyan","ARL11","Leukocyte Migration"
"255","cyan","CORO1A","Leukocyte Migration"
"256","cyan","SLC37A2","Leukocyte Migration"
"257","cyan","IRF2BP2","Leukocyte Migration"
"258","cyan","PSME1","Leukocyte Migration"
"259","cyan","IFI30","Leukocyte Migration"
"260","cyan","PACSIN2","Leukocyte Migration"
"261","cyan","SLC35A4","Leukocyte Migration"
"262","cyan","KRTCAP2","Leukocyte Migration"
"263","cyan","LOC105376805","Leukocyte Migration"
"264","cyan","DHRS4L2","Leukocyte Migration"
"265","cyan","TREM2","Leukocyte Migration"
"266","cyan","TNFAIP8L2","Leukocyte Migration"
"267","cyan","CD300A","Leukocyte Migration"
"268","cyan","LRRC8C-DT","Leukocyte Migration"
"269","cyan","PI4K2A","Leukocyte Migration"
"270","cyan","HM13","Leukocyte Migration"
"271","cyan","MMP2","Leukocyte Migration"
"272","cyan","SPI1","Leukocyte Migration"
"273","cyan","SFTA2","Leukocyte Migration"
"274","cyan","WIPI1","Leukocyte Migration"
"275","cyan","ACRBP","Leukocyte Migration"
"276","cyan","PLEKHO1","Leukocyte Migration"
"277","cyan","CD79B","Leukocyte Migration"
"278","cyan","RNA45SN1","Leukocyte Migration"
"279","cyan","GLRX","Leukocyte Migration"
"280","cyan","CPT2","Leukocyte Migration"
"281","cyan","ALG12","Leukocyte Migration"
"282","cyan","TNIP1","Leukocyte Migration"
"283","cyan","FAM78A","Leukocyte Migration"
"284","cyan","CEBPE","Leukocyte Migration"
"285","cyan","SEMA7A","Leukocyte Migration"
"286","cyan","CIB1","Leukocyte Migration"
"287","cyan","RCC1L","Leukocyte Migration"
"288","cyan","CCDC71","Leukocyte Migration"
"289","cyan","CTSD","Leukocyte Migration"
"290","cyan","P2RX4","Leukocyte Migration"
"291","cyan","MAPKAPK3","Leukocyte Migration"
"292","cyan","ACY3","Leukocyte Migration"
"293","cyan","CTSL","Leukocyte Migration"
"294","cyan","BCL2L12","Leukocyte Migration"
"295","cyan","CSK","Leukocyte Migration"
"296","cyan","RNF135","Leukocyte Migration"
"297","cyan","SERPINF1","Leukocyte Migration"
"298","cyan","MPI","Leukocyte Migration"
"299","cyan","BTF3P11","Leukocyte Migration"
"300","cyan","TMED9","Leukocyte Migration"
"301","cyan","PDLIM2","Leukocyte Migration"
"302","cyan","METTL13","Leukocyte Migration"
"303","cyan","ZNF787","Leukocyte Migration"
"304","cyan","COMMD5","Leukocyte Migration"
"305","cyan","MRM2","Leukocyte Migration"
"306","cyan","P3H2","Leukocyte Migration"
"307","cyan","TSPAN10","Leukocyte Migration"
"308","cyan","ZBTB7B","Leukocyte Migration"
"309","cyan","ALG3","Leukocyte Migration"
"310","cyan","ABHD12","Leukocyte Migration"
"311","cyan","H2AFJ","Leukocyte Migration"
"312","cyan","SYK","Leukocyte Migration"
"313","cyan","RNPEPL1","Leukocyte Migration"
"314","cyan","HAUS8","Leukocyte Migration"
"315","cyan","EFHD2","Leukocyte Migration"
"316","cyan","HMOX1","Leukocyte Migration"
"317","cyan","OLFML3","Leukocyte Migration"
"318","cyan","MCM5","Leukocyte Migration"
"319","cyan","CCND1","Leukocyte Migration"
"320","cyan","AP1B1","Leukocyte Migration"
"321","cyan","EDEM2","Leukocyte Migration"
"322","cyan","SYNGR2","Leukocyte Migration"
"323","cyan","BCL2L1","Leukocyte Migration"
"324","cyan","STX10","Leukocyte Migration"
"325","cyan","TNNI2","Leukocyte Migration"
"326","cyan","RBM42","Leukocyte Migration"
"327","cyan","TNFAIP8L1","Leukocyte Migration"
"328","cyan","ATP6V0E1","Leukocyte Migration"
"329","cyan","ILK","Leukocyte Migration"
"330","cyan","SIGLEC17P","Leukocyte Migration"
"331","cyan","GRN","Leukocyte Migration"
"332","cyan","DNASE2","Leukocyte Migration"
"333","cyan","PCED1B-AS1","Leukocyte Migration"
"334","cyan","ARID3A","Leukocyte Migration"
"335","cyan","RPIA","Leukocyte Migration"
"336","cyan","SLC3A2","Leukocyte Migration"
"337","cyan","CCDC86","Leukocyte Migration"
"338","cyan","DDOST","Leukocyte Migration"
"339","cyan","RNPEP","Leukocyte Migration"
"340","cyan","SMARCD2","Leukocyte Migration"
"341","cyan","CD79A","Leukocyte Migration"
"342","cyan","ADAP2","Leukocyte Migration"
"343","cyan","ABCD1","Leukocyte Migration"
"344","cyan","PLEKHG4","Leukocyte Migration"
"345","cyan","MMP24-AS1-EDEM2","Leukocyte Migration"
"346","cyan","NLRX1","Leukocyte Migration"
"347","cyan","APEX2","Leukocyte Migration"
"348","cyan","ABT1","Leukocyte Migration"
"349","cyan","ZNF689","Leukocyte Migration"
"350","cyan","EFNA4","Leukocyte Migration"
"351","cyan","SEC61A1","Leukocyte Migration"
"352","cyan","RNA45SN5","Leukocyte Migration"
"353","cyan","RNF114","Leukocyte Migration"
"354","cyan","SMCO4","Leukocyte Migration"
"355","cyan","HIST1H2AJ","Leukocyte Migration"
"356","cyan","RBM38","Leukocyte Migration"
"357","cyan","ACAD9","Leukocyte Migration"
"358","cyan","CCDC69","Leukocyte Migration"
"359","cyan","BRMS1","Leukocyte Migration"
"360","cyan","ATF5","Leukocyte Migration"
"361","cyan","LBX2","Leukocyte Migration"
"362","cyan","NCF4","Leukocyte Migration"
"363","cyan","PLTP","Leukocyte Migration"
"364","cyan","TOR2A","Leukocyte Migration"
"365","cyan","DNTTIP1","Leukocyte Migration"
"366","cyan","HIST1H4B","Leukocyte Migration"
"367","cyan","RAB3IL1","Leukocyte Migration"
"368","cyan","LOC101928123","Leukocyte Migration"
"369","cyan","NOB1","Leukocyte Migration"
"370","cyan","CTSZ","Leukocyte Migration"
"371","cyan","ADGRE5","Leukocyte Migration"
"372","cyan","TMEM102","Leukocyte Migration"
"373","cyan","BATF","Leukocyte Migration"
"374","cyan","SCPEP1","Leukocyte Migration"
"375","cyan","HIF1A-AS1","Leukocyte Migration"
"376","cyan","ARL6IP4","Leukocyte Migration"
"377","cyan","EFNB1","Leukocyte Migration"
"378","cyan","HIST1H1C","Leukocyte Migration"
"379","cyan","CYREN","Leukocyte Migration"
"380","cyan","GRB2","Leukocyte Migration"
"381","cyan","CUEDC1","Leukocyte Migration"
"382","cyan","IL6R","Leukocyte Migration"
"383","darkgreen","CARD16","Neutrophil Activation"
"384","darkgreen","TNFRSF14","Neutrophil Activation"
"385","darkgreen","HOMEZ","Neutrophil Activation"
"386","darkgreen","PLPP1","Neutrophil Activation"
"387","darkgreen","LINC02361","Neutrophil Activation"
"388","darkgreen","ICA1","Neutrophil Activation"
"389","darkgreen","KCNK13","Neutrophil Activation"
"390","darkgreen","FCGR1A","Neutrophil Activation"
"391","darkgreen","IFNGR2","Neutrophil Activation"
"392","darkgreen","ITM2B","Neutrophil Activation"
"393","darkgreen","SUMF1","Neutrophil Activation"
"394","darkgreen","WBP1L","Neutrophil Activation"
"395","darkgreen","HTATIP2","Neutrophil Activation"
"396","darkgreen","GCSAML-AS1","Neutrophil Activation"
"397","darkgreen","ATG10","Neutrophil Activation"
"398","darkgreen","PIK3AP1","Neutrophil Activation"
"399","darkgreen","HYAL2","Neutrophil Activation"
"400","darkgreen","FAM114A1","Neutrophil Activation"
"401","darkgreen","PCBD2","Neutrophil Activation"
"402","darkgreen","RNF130","Neutrophil Activation"
"403","darkgreen","SPATA22","Neutrophil Activation"
"404","darkgreen","TRIM21","Neutrophil Activation"
"405","darkgreen","LYSMD2","Neutrophil Activation"
"406","darkgreen","TMEM140","Neutrophil Activation"
"407","darkgreen","DOCK2","Neutrophil Activation"
"408","darkgreen","ECRP","Neutrophil Activation"
"409","darkgreen","TMEM86A","Neutrophil Activation"
"410","darkgreen","LINC02062","Neutrophil Activation"
"411","darkgreen","KMT5A","Neutrophil Activation"
"412","darkgreen","IMMP2L","Neutrophil Activation"
"413","darkgreen","APOC1P1","Neutrophil Activation"
"414","darkgreen","LINC01347","Neutrophil Activation"
"415","darkgreen","FMN1","Neutrophil Activation"
"416","darkgreen","WIPF1","Neutrophil Activation"
"417","darkgreen","LILRA2","Neutrophil Activation"
"418","darkgreen","RNASE6","Neutrophil Activation"
"419","darkgreen","HIST1H3E","Neutrophil Activation"
"420","darkgreen","GLB1L","Neutrophil Activation"
"421","darkgreen","NMI","Neutrophil Activation"
"422","darkgreen","FICD","Neutrophil Activation"
"423","darkgreen","ARNTL","Neutrophil Activation"
"424","darkgreen","SLC43A3","Neutrophil Activation"
"425","darkgreen","LAPTM5","Neutrophil Activation"
"426","darkgreen","TIMP2","Neutrophil Activation"
"427","darkgreen","SESN2","Neutrophil Activation"
"428","darkgreen","CASP7","Neutrophil Activation"
"429","darkgreen","LOC101929798","Neutrophil Activation"
"430","darkgreen","TPP1","Neutrophil Activation"
"431","darkgreen","LINC01546","Neutrophil Activation"
"432","darkgreen","PLD1","Neutrophil Activation"
"433","darkgreen","GIMAP4","Neutrophil Activation"
"434","darkgreen","LOC101927822","Neutrophil Activation"
"435","darkgreen","PYHIN1","Neutrophil Activation"
"436","darkgreen","HCG14","Neutrophil Activation"
"437","darkgreen","LILRB3","Neutrophil Activation"
"438","darkgreen","LOC152048","Neutrophil Activation"
"439","darkgreen","PIP4K2A","Neutrophil Activation"
"440","darkgreen","SUMF2","Neutrophil Activation"
"441","darkgreen","ARMCX6","Neutrophil Activation"
"442","darkgreen","LOC102724153","Neutrophil Activation"
"443","darkgreen","MYADM","Neutrophil Activation"
"444","darkgreen","TDRD9","Neutrophil Activation"
"445","darkgreen","FAM133DP","Neutrophil Activation"
"446","darkgreen","JAGN1","Neutrophil Activation"
"447","darkgreen","NFE2L1","Neutrophil Activation"
"448","darkgreen","CRACR2A","Neutrophil Activation"
"449","darkgreen","MED14OS","Neutrophil Activation"
"450","darkgreen","TIGD6","Neutrophil Activation"
"451","darkgreen","APLP2","Neutrophil Activation"
"452","darkgreen","HSD17B11","Neutrophil Activation"
"453","darkgreen","CALML4","Neutrophil Activation"
"454","darkgreen","PLAGL2","Neutrophil Activation"
"455","darkgreen","LOC101928517","Neutrophil Activation"
"456","darkgreen","NUDT19","Neutrophil Activation"
"457","darkgreen","GPN3","Neutrophil Activation"
"458","darkgreen","TBC1D20","Neutrophil Activation"
"459","darkgreen","FCMR","Neutrophil Activation"
"460","darkgreen","PPARG","Neutrophil Activation"
"461","darkgreen","LDLRAP1","Neutrophil Activation"
"462","darkgreen","FAM120A","Neutrophil Activation"
"463","darkgreen","MFSD5","Neutrophil Activation"
"464","darkgreen","RPN2","Neutrophil Activation"
"465","darkgreen","LINC00339","Neutrophil Activation"
"466","darkgreen","CYP4V2","Neutrophil Activation"
"467","darkgreen","CPPED1","Neutrophil Activation"
"468","darkgreen","GALNT10","Neutrophil Activation"
"469","darkgreen","ENOSF1","Neutrophil Activation"
"470","darkgreen","CASP4","Neutrophil Activation"
"471","darkgreen","TRAPPC10","Neutrophil Activation"
"472","darkgreen","MUL1","Neutrophil Activation"
"473","darkgreen","LYAR","Neutrophil Activation"
"474","darkgreen","TNFRSF14-AS1","Neutrophil Activation"
"475","darkgreen","TRIM6","Neutrophil Activation"
"476","darkgreen","CENPP","Neutrophil Activation"
"477","darkgreen","ZDHHC5","Neutrophil Activation"
"478","darkgreen","LOC105370792","Neutrophil Activation"
"479","darkgreen","NPC1","Neutrophil Activation"
"480","darkgreen","NMRK1","Neutrophil Activation"
"481","darkgreen","RNF19B","Neutrophil Activation"
"482","darkgreen","CDC42SE1","Neutrophil Activation"
"483","darkgreen","ITGA9","Neutrophil Activation"
"484","darkgreen","CTSB","Neutrophil Activation"
"485","darkgreen","IRF8","Neutrophil Activation"
"486","darkgreen","APOBEC3G","Neutrophil Activation"
"487","darkgreen","BLOC1S3","Neutrophil Activation"
"488","darkgreen","MTIF3","Neutrophil Activation"
"489","darkgreen","RCSD1","Neutrophil Activation"
"490","darkgreen","CMTM7","Neutrophil Activation"
"491","darkgreen","SMCR8","Neutrophil Activation"
"492","darkgreen","SNX18","Neutrophil Activation"
"493","darkgreen","LOC100130950","Neutrophil Activation"
"494","darkgreen","ADIPOR1","Neutrophil Activation"
"495","darkgreen","RUNX3","Neutrophil Activation"
"496","darkgreen","MEFV","Neutrophil Activation"
"497","darkgreen","LIPT2","Neutrophil Activation"
"498","darkgreen","SIGLEC5","Neutrophil Activation"
"499","darkgreen","LILRB2","Neutrophil Activation"
"500","darkgreen","SLC39A11","Neutrophil Activation"
"501","darkgreen","SIGLEC7","Neutrophil Activation"
"502","darkgreen","PLAC1","Neutrophil Activation"
"503","darkgreen","SNX20","Neutrophil Activation"
"504","darkgreen","APOC4-APOC2","Neutrophil Activation"
"505","darkgreen","WHAMM","Neutrophil Activation"
"506","darkgreen","CARD6","Neutrophil Activation"
"507","darkgreen","FCGR3A","Neutrophil Activation"
"508","darkgreen","MEF2C-AS2","Neutrophil Activation"
"509","darkgreen","ABCG1","Neutrophil Activation"
"510","darkgreen","CERS2","Neutrophil Activation"
"511","darkgreen","HEXA","Neutrophil Activation"
"512","darkgreen","CTDSP2","Neutrophil Activation"
"513","darkgreen","SERPINB1","Neutrophil Activation"
"514","darkgreen","ARHGAP31","Neutrophil Activation"
"515","darkgreen","CD40","Neutrophil Activation"
"516","darkgreen","SALL1","Neutrophil Activation"
"517","darkgreen","HEXB","Neutrophil Activation"
"518","darkgreen","CX3CR1","Neutrophil Activation"
"519","darkgreen","CASP1","Neutrophil Activation"
"520","darkgreen","RUBCNL","Neutrophil Activation"
"521","darkgreen","DCANP1","Neutrophil Activation"
"522","darkgreen","MICB","Neutrophil Activation"
"523","darkgreen","FCGR1B","Neutrophil Activation"
"524","darkgreen","FILNC1","Neutrophil Activation"
"525","darkgreen","SURF4","Neutrophil Activation"
"526","darkgreen","HIST1H2AH","Neutrophil Activation"
"527","darkgreen","PHKG1","Neutrophil Activation"
"528","darkgreen","GLYR1","Neutrophil Activation"
"529","darkgreen","MTCP1","Neutrophil Activation"
"530","darkgreen","TRIM6-TRIM34","Neutrophil Activation"
"531","darkgreen","FKBP15","Neutrophil Activation"
"532","darkgreen","CDYL","Neutrophil Activation"
"533","darkgreen","SKAP2","Neutrophil Activation"
"534","darkgreen","LPXN","Neutrophil Activation"
"535","darkgreen","LOC100288798","Neutrophil Activation"
"536","darkgreen","XBP1","Neutrophil Activation"
"537","darkgreen","AMOT","Neutrophil Activation"
"538","darkgreen","HHEX","Neutrophil Activation"
"539","darkgreen","TLDC2","Neutrophil Activation"
"540","darkgreen","LOC107984974","Neutrophil Activation"
"541","darkgreen","CLECL1","Neutrophil Activation"
"542","darkgreen","MERTK","Neutrophil Activation"
"543","darkgreen","TMEM243","Neutrophil Activation"
"544","darkgreen","CSF2RB","Neutrophil Activation"
"545","darkgreen","ALOX5AP","Neutrophil Activation"
"546","darkgreen","MED30","Neutrophil Activation"
"547","darkgreen","SCIN","Neutrophil Activation"
"548","darkgreen","PARP15","Neutrophil Activation"
"549","darkgreen","ISCU","Neutrophil Activation"
"550","darkgreen","CCDC134","Neutrophil Activation"
"551","darkgreen","LINC00539","Neutrophil Activation"
"552","darkgreen","IKBIP","Neutrophil Activation"
"553","darkgreen","CRTAP","Neutrophil Activation"
"554","darkgreen","ITPRIPL2","Neutrophil Activation"
"555","darkgreen","KCNA5","Neutrophil Activation"
"556","darkgreen","SLC30A1","Neutrophil Activation"
"557","darkgreen","TESK2","Neutrophil Activation"
"558","darkgreen","ZDHHC3","Neutrophil Activation"
"559","darkgreen","CUTC","Neutrophil Activation"
"560","darkgreen","RAC1","Neutrophil Activation"
"561","darkgreen","CGAS","Neutrophil Activation"
